Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
Apple,Dòng khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,64 GB,Việt Nam,"Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",6.700.000
Xiaomi,Redmi Note 10,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Trắng,64 GB,Đang cập nhật,"Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",1.600.000
Apple,Dòng khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,64 GB,Việt Nam,"Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",6.700.000
Samsung,Galaxy S20 Ultra,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xám,128 GB,Việt Nam,Đường số 36,5.100.000
Apple,iPhone 8 plus,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Vàng,64 GB,Đang cập nhật,"Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",2.800.000
Samsung,Galaxy Note 8,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Bạc,64 GB,Đang cập nhật,"Phường 15, Quận 8, Tp Hồ Chí Minh",1.100.000
Apple,iPhone 13 Pro,Đã sử dụng (chưa sửa chữa),3 tháng,Xám,256 GB,Mỹ,"Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",11.800.000
Oppo,A92,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,256 GB,Việt Nam,240/35B Nguyễn Văn Luôn Phường 11 Quận 6 TP HCM Sđt 09 Ba Ba 057 Không Hai7,2.200.000
Apple,iPhone 7,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đang cập nhật,In trên bao bì,,"Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh",1.400.000
Apple,iPhone XR,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đỏ,64 GB,Mỹ,"Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",2.700.000
Oppo,Reno,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh lá,256 GB,Đang cập nhật,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",1.450.000
